row_id,row_type,grid,state,county,sponsor,project_name,claimed_mw,claim_date,site_control,physical,financial,incentive,track_record,score,scoring_basis,tier,site_control_provenance,reversal_flag,reversal_citation,last_verified,evidence_file
proj-tx-01,project,ERCOT,TX,Carson County (county boundary itself unresolved),Fermi America,Project Matador (HyperGrid),11000,2025-06-26,25,25,5,7,3,65,standard_100,Progressing,government_record,YES,$150M tenant funding pact cancelled; no binding tenant; stock down ~65-80% since IPO; class-action re: overstated tenant demand. See evidence/01.,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/01-fermi-america-project-matador.md
proj-tx-02,project,ERCOT,TX,Taylor County,Crusoe Energy / Lancium,Abilene Campus (Stargate + Microsoft AI Factory),2100,2026-03,12,25,10,7,18,72,standard_100,Evidenced,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/02-crusoe-lancium-abilene.md
proj-tx-03,project,ERCOT,TX,Pecos County,Poolside AI,Project Horizon,2000,2025-10-15,15,0,2,7,2,26,standard_100,Announced-only,press_reported_only,YES,CoreWeave 250MW anchor lease terminated late Mar 2026 after Poolside's $2B Series C failed to close; scaled to 400MW revival by Jul 2026 with no replacement tenant. See evidence/03.,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/03-poolside-project-horizon.md
proj-tx-04,project,ERCOT,TX,Caldwell County,Tract,Data Center Technology Park,2000,2026-01,18,0,8,0,14,40,standard_100,Progressing,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/04-tract-caldwell-county.md
proj-tx-05,project,ERCOT,TX,Ellis County,PowerHouse Data Centers / Provident Data Centers,Grand Prairie Campus,1800,,10,n/o,6,0,8,32,renormalized_75,Announced-only,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/05-powerhouse-provident-ellis-county.md
proj-tx-06,project,ERCOT,TX,Shackelford County,Vantage Data Centers,Frontier,1400,2025-08-19,12,25,8,4,10,59,standard_100,Progressing,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/06-vantage-frontier-shackelford.md
proj-tx-07,project,ERCOT,TX,Hays / Guadalupe County,CloudBurst Data Centers / Evolve Holdings,San Marcos Data Center I,1200,2025-11-05,12,8,10,0,0,30,standard_100,Announced-only,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/07-cloudburst-san-marcos.md
proj-tx-08,project,ERCOT,TX,Milam County,SB Energy (SoftBank),Stargate Milam County,1200,2026-01-09,20,0,8,0,8,36,standard_100,Announced-only,government_record,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/08-sb-energy-stargate-milam.md
proj-tx-09,project,ERCOT,TX,El Paso County,Meta,El Paso AI Data Center,1000,2025-10,25,22,15,15,20,97,standard_100,Evidenced,government_record,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/09-meta-el-paso.md
proj-tx-10,project,ERCOT,TX,Nueces County,Hut 8,Beacon Point,1000,2026-07-20,10,n/o,15,7,14,61,renormalized_75,Progressing,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/10-hut8-beacon-point.md
proj-tx-11,project,ERCOT,TX,Childress County,Crusoe Energy / Lancium,Childress Campus,1000,,15,n/o,8,7,18,64,renormalized_75,Progressing,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/11-crusoe-lancium-childress.md
proj-tx-12,project,ERCOT,TX,Navarro County,Riot Platforms,Corsicana Facility,1000,2024,22,20,15,7,16,80,standard_100,Evidenced,government_record,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/12-riot-platforms-corsicana.md
proj-tx-13,project,ERCOT,TX,Armstrong County,Google,Panhandle Campus - Armstrong County,not disclosed,2025-11-14,15,25,5,7,20,72,standard_100,Evidenced,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/13-google-armstrong-county.md
proj-tx-14,project,ERCOT,TX,Haskell County,Google,Panhandle Campus - Haskell County (scored as 'Journey'),not disclosed,2025-11-14,20,n/o,10,15,20,87,renormalized_75,Evidenced,government_record,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/14-google-haskell-county.md
proj-tx-15,project,ERCOT,TX,Hale County,Aligned Data Centers,Project Caprock,540,2026-04-09,10,n/o,6,7,10,44,renormalized_75,Progressing,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/15-aligned-project-caprock.md
proj-tx-16,project,ERCOT,TX,Denton County,Core Scientific,Denton Campus (CoreWeave expansion),391,,25,n/o,15,7,10,76,renormalized_75,Evidenced,government_record,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/16-core-scientific-denton.md
proj-tx-17,project,ERCOT,TX,Mitchell County,Cipher Mining,Barber Lake,300,2024-09,22,12,15,7,16,72,standard_100,Evidenced,government_record,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/17-cipher-mining-barber-lake.md
proj-tx-18,project,ERCOT,TX,Dallas County,PowerHouse Data Centers,Irving Campus,201,,10,5,5,0,8,28,standard_100,Announced-only,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/18-powerhouse-irving-dallas.md
proj-tx-19,project,ERCOT,TX,Glasscock County,Marathon Digital (MARA),Garden City Facility,200,2024-03-15,22,n/o,5,0,9,48,renormalized_75,Progressing,government_record,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/19-marathon-garden-city.md
proj-tx-20,project,ERCOT,TX,Kaufman County,Prometheus Hyperscale,Kaufman County Campus,200,,8,n/o,5,0,6,25,renormalized_75,Announced-only,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/20-prometheus-kaufman-county.md
proj-tx-21,project,ERCOT,TX,Bosque County,Energy Capital Partners + KKR / CyrusOne,Bosque County Campus,190,2025-07-30,5,n/o,15,0,10,40,renormalized_75,Progressing,press_reported_only,,,2026-08-05,https://github.com/assayenergy/gridscore/blob/main/evidence/21-ecp-kkr-cyrusone-bosque-county.md
