project_id,project_name,sponsor,county,announced_mw,site_control_score,site_control_confidence,physical_commitment_score,physical_commitment_category,financial_commitment_score,incentive_filings_score,incentive_filings_basis,sponsor_track_record_score,total_score,tier,documented_reversal_flag,reversal_citation,scoring_basis
1,Project Matador (HyperGrid),Fermi America,Carson County (county boundary itself unresolved),11000,25,government-record (99-yr leasehold from Texas Tech University System),25,confirmed-permitted,12,15,"Executed Carson County Ch. 312 tax abatement + reinvestment zone, approved/filed 2025-10-27 (predates Aug 5 capture; missed in original research, caught this refresh) - full credit tier, same as Meta/Google-Haskell. Registry match ('Fermi Data Center 1' eff. 2025-09-05) also present but superseded by the abatement for scoring purposes.",3,80,Evidenced,YES,"$150M tenant funding pact cancelled 2025-12-12; stock down 33.8% same day; one securities class action, Lupia v. Fermi Inc. et al., No. 1:26-cv-00050 (S.D.N.Y.), filed 2026-01-05 (corrected 2026-09-26 from ~33% and a 'parallel filing' that was a press release; see https://github.com/assayenergy/gridscore/blob/main/corrections.md). Since Aug 5: CEO Neugebauer terminated for Cause 2026-04-30 (8-K/A, accession 000121390026050183); CFO Everson resigned 2026-04-19 (accession 000121390026045351); Everson resigned from board 2026-07-10 over records-access/Finance-Committee dispute (8-K, accession 000121390026077385); Neugebauer v. Fermi Inc. et al. (Cause No. 26-BC01B-0034, Business Court of Texas, amended 2026-09-21 to add 3 directors) and Fermi Inc. v. Neugebauer (No. 5:2026cv00100, N.D. Tex., TRO denied); reported (unconfirmed, Bisnow) subpoena for Project Matador/former-management records. See evidence/01.",standard /100
2,Abilene Campus (Stargate + Microsoft AI Factory),Crusoe Energy / Lancium,Taylor County,2100,12,press-reported-only,25,confirmed-permitted,10,7,§151.359 registry match ('Lancium Abilene Clean Campus I-VIII') - no JETI/abatement found,18,72,Evidenced,no,,standard /100
3,Project Horizon,Poolside AI (with CoreWeave),Pecos County,2000,15,press-reported-only,0,true-zero,2,7,§151.359 registry match ('Poolside Data Center Pecos County I & II') - no JETI/abatement found,2,26,Announced-only,YES,CoreWeave 250MW anchor lease terminated late Mar 2026 after Poolside's $2B Series C failed to close; scaled to 400MW revival by Jul 2026 with no replacement tenant. See evidence/03.,standard /100
4,Data Center Technology Park,Tract,Caldwell County,2000,18,press-reported-only (self-disclosed closed transaction),0,true-zero (no operator/tenant named - nothing to permit yet),8,0,no JETI/abatement/registry match found,14,40,Progressing,no,,standard /100
5,Grand Prairie Campus,PowerHouse Data Centers / Provident Data Centers,Ellis County,1800,10,press-reported-only,n/o (§106.511),not-observable (excluded from denominator; renormalized /75),6,0,no JETI/abatement/registry match found,8,32,Announced-only,no,,renormalized /75 (physical excluded)
6,Frontier,Vantage Data Centers,Shackelford County,1400,12,press-reported-only,25,confirmed-permitted,8,4,§151.359 registry match circumstantial only (Oracle-occupant TX11/12/21/22/301-310 entries; county not printed in registry so not geographically confirmed),10,59,Progressing,no,,standard /100
7,San Marcos Data Center I,CloudBurst Data Centers / Evolve Holdings,Hays / Guadalupe County,1200,12,press-reported-only,8,confirmed-permitted (partial - flood permit only),10,0,no JETI/abatement/registry match found,0,30,Announced-only,no,,standard /100
8,Stargate Milam County,SB Energy (SoftBank),Milam County,1200,20,government-record (deed filed) but affiliate-entity link is inferred not named,0,true-zero (dedicated generation build stated - permit would be expected),8,0,"'Milam County Data Center' registry entry uses different LLC names (MDC Building 1 LLC/Orion DC I LLC) - confirmed NOT a match, appears to be a different Milam Co. project",8,36,Announced-only,no,,standard /100
9,El Paso AI Data Center,Meta,El Paso County,1000,25,government-record (City of El Paso council-approved sale),22,confirmed-permitted (PUC filing),15,15,Executed municipal + county tax abatement (25yr/80% city; parallel county break) - full credit tier; also registry match ('Wurldwide LLC DBA Statue LLC' eff. 2025-09-17),20,97,Evidenced,no,,standard /100
10,Beacon Point,Hut 8,Nueces County,1000,10,press-reported-only,n/o (§106.511),not-observable (excluded from denominator; renormalized /75),15,7,§151.359 registry match ('Beacon Point 1 Data Center' eff. 2026-04-16) - found on manual re-check; no JETI/abatement found,14,61,Progressing,no,,renormalized /75 (physical excluded)
11,Childress Campus,Crusoe Energy / Lancium,Childress County,1000,15,press-reported-only,n/o (§106.511),not-observable (excluded from denominator; renormalized /75),8,7,§151.359 registry match ('Lancium Clean Campus - Childress 1' eff. 2025-03-25) - no JETI/abatement found,18,64,Progressing,no,,renormalized /75 (physical excluded)
